,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
24930,37.535466,55.752218,11,0,0,3,3,0,"37.535466,55.752218",0
24931,37.4674,55.632,12,2,0,2,1,0,"37.4674,55.632",0
24932,37.552203,55.841669,11,0,0,2,1,0,"37.552203,55.841669",0
24933,37.58749,55.707312,02,0,1,3,1,0,"37.58749,55.707312",0
24934,37.475395,55.688242,07,0,0,3,1,0,"37.475395,55.688242",0
24935,37.669877,55.611481,09,1,0,1,1,0,"37.669877,55.611481",0
24936,37.486639,55.883808,11,1,0,3,1,0,"37.486639,55.883808",0
24937,37.473314,55.627281,07,1,0,5,2,0,"37.473314,55.627281",0
24938,37.82154,55.69591,09,0,0,2,1,0,"37.82154,55.69591",0
24939,37.531722,55.906211,11,0,0,3,1,0,"37.531722,55.906211",0
24940,37.47193,55.644474,07,0,0,2,1,0,"37.47193,55.644474",0
24941,37.536646,55.89237,11,1,0,2,1,0,"37.536646,55.89237",0
24942,37.699692,55.719388,09,1,0,2,1,0,"37.699692,55.719388",0
24943,37.337615,55.604748,06,1,1,2,1,0,"37.337615,55.604748",0
24944,37.369909,55.78432,05,0,2,3,0,1,"37.369909,55.78432",0
24945,37.546796,55.93279,11,0,0,2,1,0,"37.546796,55.93279",0
24946,37.723639,55.71158,07,0,0,5,1,0,"37.723639,55.71158",0
24947,37.8247,55.825,08,0,0,1,1,0,"37.8247,55.825",0
24948,37.698,55.884,05,0,0,2,1,0,"37.698,55.884",0
24949,37.805672,55.696998,12,1,1,2,1,0,"37.805672,55.696998",0
24950,nan,nan,12,0,0,2,1,0,"nan,nan",0
24951,37.620342,55.859285,01,0,0,2,1,0,"37.620342,55.859285",0
24952,37.674351,55.791547,09,0,0,6,4,0,"37.674351,55.791547",0
24953,37.749206,55.707917,05,0,0,2,1,0,"37.749206,55.707917",0
24954,37.746556,55.672732,11,1,1,3,1,0,"37.746556,55.672732",0
24955,37.638925,55.818444,03,1,0,2,1,0,"37.638925,55.818444",0
24956,37.573671,55.892064,10,1,0,2,1,0,"37.573671,55.892064",0
24957,37.713451,55.619377,01,1,2,4,0,3,"37.713451,55.619377",0
24958,37.5801,55.6651,03,0,0,2,1,0,"37.5801,55.6651",0
24959,37.764795,55.63117,03,1,1,2,2,0,"37.764795,55.63117",0
24960,37.849767,55.690564,03,0,1,1,1,0,"37.849767,55.690564",0
24961,37.862427,55.815166,09,1,1,4,4,0,"37.862427,55.815166",0
24962,37.590065,55.792446,02,1,0,2,1,0,"37.590065,55.792446",0
24963,37.49637,55.767605,10,1,1,1,1,0,"37.49637,55.767605",0
24964,37.609,55.821,10,0,1,2,1,0,"37.609,55.821",0
24965,37.514201,55.777321,12,1,0,2,1,0,"37.514201,55.777321",0
24966,37.579982,55.70045,01,1,1,2,1,0,"37.579982,55.70045",0
24967,37.654415,55.824145,01,0,0,2,1,0,"37.654415,55.824145",0
24968,37.787765,55.802994,01,0,0,3,1,0,"37.787765,55.802994",0
24969,37.572585,55.703414,10,0,0,2,1,0,"37.572585,55.703414",0
24970,37.6247,55.7926,08,1,0,4,3,0,"37.6247,55.7926",0
24971,37.486766,55.603675,06,0,1,3,1,0,"37.486766,55.603675",0
24972,37.383921,55.713175,03,1,2,5,1,2,"37.383921,55.713175",0
24973,37.539262,55.898261,09,0,0,3,1,0,"37.539262,55.898261",0
24974,37.45618,55.64161,05,0,0,2,1,0,"37.45618,55.64161",0
24975,37.371991,55.841874,11,0,0,2,1,0,"37.371991,55.841874",0
24976,37.508326,55.598251,01,1,0,2,1,0,"37.508326,55.598251",0
24977,37.71203,55.584967,01,1,1,2,1,0,"37.71203,55.584967",0
24978,37.819963,55.802897,01,0,0,3,2,0,"37.819963,55.802897",0
24979,37.750955,55.869394,01,1,0,3,1,0,"37.750955,55.869394",0
24980,37.415849,55.837612,09,0,0,2,1,0,"37.415849,55.837612",0
24981,37.574,55.901,10,0,1,2,1,0,"37.574,55.901",0
24982,37.46177,55.789484,01,1,0,2,1,0,"37.46177,55.789484",0
24983,37.799335,55.795789,07,0,0,2,1,0,"37.799335,55.795789",0
24984,37.349975,55.640102,12,1,0,3,1,0,"37.349975,55.640102",0
24985,37.344367,55.649451,10,1,0,3,2,0,"37.344367,55.649451",0
24986,37.745318,55.791061,12,1,0,2,1,0,"37.745318,55.791061",0
24987,37.519448,55.670657,01,1,1,2,1,0,"37.519448,55.670657",0
24988,37.79828,55.753413,07,0,1,3,1,0,"37.79828,55.753413",0
24989,37.395422,55.65597,07,0,0,3,2,0,"37.395422,55.65597",0
24990,37.783011,55.667486,05,0,0,4,2,0,"37.783011,55.667486",0
24991,37.510425,55.625779,09,0,0,2,1,0,"37.510425,55.625779",0
24992,37.8181,55.6569,06,0,0,2,1,0,"37.8181,55.6569",0
24993,37.614845,55.799407,10,0,0,2,1,0,"37.614845,55.799407",0
24994,37.587705,55.781388,05,0,0,2,1,0,"37.587705,55.781388",0
24995,37.4553,55.4449,04,0,1,5,4,0,"37.4553,55.4449",0
24996,37.674201,55.889416,03,1,1,2,1,0,"37.674201,55.889416",0
24997,37.480685,55.840055,07,0,1,2,1,0,"37.480685,55.840055",0
24998,37.661304,55.781297,12,0,0,2,2,0,"37.661304,55.781297",0
24999,37.358531,55.84752,04,1,1,2,1,0,"37.358531,55.84752",0
25000,37.56823,55.793001,02,0,0,2,1,0,"37.56823,55.793001",0
25001,37.720985,55.785087,06,0,0,2,1,0,"37.720985,55.785087",0
25002,37.79942,55.793252,06,0,0,3,1,0,"37.79942,55.793252",0
25003,37.566226,55.652181,07,1,0,2,1,0,"37.566226,55.652181",0
25004,37.664223,55.725298,12,1,0,2,1,0,"37.664223,55.725298",0
25005,37.702203,55.733369,06,0,0,2,1,0,"37.702203,55.733369",0
25006,37.518429,55.634719,09,0,0,2,1,0,"37.518429,55.634719",0
25007,37.810607,55.747876,06,0,0,3,1,0,"37.810607,55.747876",0
25008,37.670907,55.612244,04,0,0,5,1,0,"37.670907,55.612244",0
25009,37.535195,55.689892,04,0,0,2,1,0,"37.535195,55.689892",0
25010,37.482557,55.880628,07,0,0,2,1,0,"37.482557,55.880628",0
25011,37.5431,55.6689,02,1,0,2,1,0,"37.5431,55.6689",0
25012,37.732835,55.646627,10,0,0,2,1,0,"37.732835,55.646627",0
25013,37.5764,55.8134,02,0,1,2,1,0,"37.5764,55.8134",0
25014,37.52773,55.711797,02,0,1,2,1,0,"37.52773,55.711797",0
25015,37.511616,55.674003,05,1,0,2,1,0,"37.511616,55.674003",0
25016,37.453626,55.834783,10,0,1,2,1,0,"37.453626,55.834783",0
25017,37.657517,55.755671,07,0,0,2,1,0,"37.657517,55.755671",0
25018,37.409456,55.850511,05,0,0,2,1,0,"37.409456,55.850511",0
25019,37.516068,55.839199,07,0,0,4,1,0,"37.516068,55.839199",0
25020,37.599077,55.781279,11,0,0,3,1,0,"37.599077,55.781279",0
25021,37.5425,55.7904,12,0,1,2,1,0,"37.5425,55.7904",0
25022,37.856443,55.715538,12,1,1,3,1,0,"37.856443,55.715538",0
25023,37.647,55.873,05,0,0,2,1,0,"37.647,55.873",0
25024,37.7214,55.8064,10,1,0,3,2,0,"37.7214,55.8064",0
25025,37.519684,55.657907,11,1,1,2,1,0,"37.519684,55.657907",0
25026,37.666092,55.617832,10,0,0,4,1,0,"37.666092,55.617832",0
25027,37.776693,55.808825,02,0,1,4,2,0,"37.776693,55.808825",0
25028,37.461469,55.7807,09,0,0,2,1,0,"37.461469,55.7807",0
25029,37.481039,55.775469,09,0,1,2,1,0,"37.481039,55.775469",0
25030,37.76228,55.633545,03,1,0,2,2,0,"37.76228,55.633545",0
25031,37.454471,55.834686,03,0,1,2,1,0,"37.454471,55.834686",0
25032,37.7763,55.8085,02,1,0,4,1,0,"37.7763,55.8085",0
25033,37.72763,55.621466,01,1,1,4,4,0,"37.72763,55.621466",0
25034,37.452393,55.778914,05,0,0,4,1,0,"37.452393,55.778914",0
25035,37.448316,55.780887,05,0,0,2,1,0,"37.448316,55.780887",0
