longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
37.526175,55.780688,10,1,0,2,1,0,"37.526175,55.780688",0
37.526584,55.783908,4,1,1,2,1,0,"37.526584,55.783908",0
37.526776,55.792216,8,1,0,2,1,0,"37.526776,55.792216",0
37.526679,55.792343,8,0,0,2,1,0,"37.526679,55.792343",0
37.5264,55.7974,11,2,1,2,1,0,"37.5264,55.7974",0
37.5267,55.8014,4,1,0,2,1,0,"37.5267,55.8014",0
37.525907,55.801987,7,0,0,3,1,0,"37.525907,55.801987",0
37.52598,55.802725,10,0,1,3,1,0,"37.52598,55.802725",0
37.527818,55.767586,11,0,0,4,1,0,"37.527818,55.767586",0
37.527913,55.774286,12,0,0,2,1,0,"37.527913,55.774286",0
37.52699,55.777514,12,1,0,4,3,0,"37.52699,55.777514",0
37.5276,55.7926,3,0,1,2,1,0,"37.5276,55.7926",0
37.526883,55.801715,11,1,0,3,1,0,"37.526883,55.801715",0
37.527859,55.80549,11,0,0,2,1,0,"37.527859,55.80549",0
37.528331,55.756263,10,1,2,2,0,1,"37.528331,55.756263",0
37.527567,55.774263,2,0,1,2,1,0,"37.527567,55.774263",0
37.528374,55.77708,3,0,0,2,1,0,"37.528374,55.77708",0
37.5278,55.7903,4,1,0,3,1,0,"37.5278,55.7903",0
37.527752,55.793984,7,0,0,2,1,0,"37.527752,55.793984",0
37.527752,55.801926,4,0,0,3,1,0,"37.527752,55.801926",0
37.529587,55.756251,6,0,0,2,1,0,"37.529587,55.756251",0
37.5294,55.7622,12,1,1,3,2,0,"37.5294,55.7622",0
37.52919,55.766145,10,1,0,1,1,0,"37.52919,55.766145",0
37.5293,55.7675,10,1,1,3,1,0,"37.5293,55.7675",0
37.528927,55.76806,4,0,0,3,1,0,"37.528927,55.76806",0
37.5295,55.7759,8,0,1,3,1,0,"37.5295,55.7759",0
37.5297,55.7767,3,0,0,2,1,0,"37.5297,55.7767",0
37.5288,55.777,3,1,1,2,1,0,"37.5288,55.777",0
37.529802,55.779862,12,0,1,2,1,0,"37.529802,55.779862",0
37.529436,55.781721,5,0,0,2,1,0,"37.529436,55.781721",0
37.529436,55.78248,7,0,1,2,1,0,"37.529436,55.78248",0
37.528728,55.791487,2,0,0,3,2,0,"37.528728,55.791487",0
37.529136,55.799213,1,0,0,2,1,0,"37.529136,55.799213",0
37.5308,55.762,5,0,0,2,1,0,"37.5308,55.762",0
37.530559,55.766628,5,0,0,2,1,0,"37.530559,55.766628",0
37.53125,55.776199,2,1,0,2,1,0,"37.53125,55.776199",0
37.530168,55.776999,5,0,1,2,1,0,"37.530168,55.776999",0
37.531146,55.766962,2,0,0,2,1,0,"37.531146,55.766962",0
37.530842,55.776078,8,1,0,2,1,0,"37.530842,55.776078",0
37.530177,55.7767,12,0,0,3,1,0,"37.530177,55.7767",0
37.530345,55.779514,12,1,1,3,2,0,"37.530345,55.779514",0
37.530263,55.782227,12,0,0,3,1,0,"37.530263,55.782227",0
37.53121,55.789956,8,0,0,2,1,0,"37.53121,55.789956",0
37.530033,55.790441,9,0,0,3,2,0,"37.530033,55.790441",0
37.531292,55.798459,7,0,0,2,1,0,"37.531292,55.798459",0
37.530423,55.799858,12,0,0,2,1,0,"37.530423,55.799858",0
37.531335,55.801004,2,1,1,1,1,0,"37.531335,55.801004",0
37.5325,55.7478,8,0,0,3,1,0,"37.5325,55.7478",0
37.531797,55.749301,3,1,0,2,1,0,"37.531797,55.749301",0
37.531614,55.751596,10,1,0,3,1,0,"37.531614,55.751596",0
37.532119,55.752441,12,0,0,4,1,0,"37.532119,55.752441",0
37.5317,55.7531,12,1,1,2,1,0,"37.5317,55.7531",0
37.532301,55.756196,4,1,0,2,1,0,"37.532301,55.756196",0
37.5327,55.7668,2,1,0,3,1,0,"37.5327,55.7668",0
37.531829,55.767267,4,1,0,2,1,0,"37.531829,55.767267",0
37.5323,55.7771,8,0,0,2,1,0,"37.5323,55.7771",0
37.53199,55.780513,11,0,1,2,1,0,"37.53199,55.780513",0
37.532408,55.782058,8,1,0,2,1,0,"37.532408,55.782058",0
37.5319,55.7901,4,1,1,2,1,0,"37.5319,55.7901",0
37.531646,55.791233,5,0,0,2,1,0,"37.531646,55.791233",0
37.531378,55.791571,8,1,0,2,1,0,"37.531378,55.791571",0
37.532204,55.799888,2,0,0,3,1,0,"37.532204,55.799888",0
37.531582,55.800135,11,1,0,2,1,0,"37.531582,55.800135",0
37.531711,55.800907,10,0,0,2,1,0,"37.531711,55.800907",0
37.532204,55.804025,10,0,0,2,1,0,"37.532204,55.804025",0
37.533374,55.74816,3,1,0,2,1,0,"37.533374,55.74816",0
37.532859,55.74967,7,0,0,3,1,0,"37.532859,55.74967",0
37.532859,55.754542,3,1,2,4,2,1,"37.532859,55.754542",0
37.5331,55.7564,6,0,0,2,1,0,"37.5331,55.7564",0
37.5331,55.7569,5,0,0,2,1,0,"37.5331,55.7569",0
37.534103,55.75814,8,0,0,4,1,0,"37.534103,55.75814",0
37.533985,55.758424,12,0,0,6,2,0,"37.533985,55.758424",0
37.533395,55.766652,12,1,0,2,1,0,"37.533395,55.766652",0
37.5331,55.7672,2,1,0,3,3,0,"37.5331,55.7672",0
37.533771,55.775951,10,1,1,2,1,0,"37.533771,55.775951",0
37.533267,55.781098,5,0,0,2,1,0,"37.533267,55.781098",0
37.532816,55.782305,2,1,0,2,1,0,"37.532816,55.782305",0
37.534039,55.789152,11,1,0,2,1,0,"37.534039,55.789152",0
37.53361,55.789942,10,1,0,2,1,0,"37.53361,55.789942",0
37.53406,55.791529,6,0,0,2,1,0,"37.53406,55.791529",0
37.532812,55.801502,8,0,0,2,1,0,"37.532812,55.801502",0
37.533277,55.802716,12,0,0,2,1,0,"37.533277,55.802716",0
37.533417,55.803379,7,0,0,2,1,0,"37.533417,55.803379",0
37.533706,55.757126,7,1,0,4,1,0,"37.533706,55.757126",0
37.533739,55.757959,1,0,1,1,1,0,"37.533739,55.757959",0
37.533299,55.766652,2,0,1,3,1,0,"37.533299,55.766652",0
37.534575,55.77457,4,1,0,2,1,0,"37.534575,55.77457",0
37.533535,55.77609,8,0,0,2,1,0,"37.533535,55.77609",0
37.534486,55.78533,12,1,1,2,1,0,"37.534486,55.78533",0
37.534286,55.799104,5,1,0,3,1,0,"37.534286,55.799104",0
37.534792,55.750558,4,0,0,3,1,0,"37.534792,55.750558",0
37.535305,55.752115,7,0,1,2,1,0,"37.535305,55.752115",0
37.535466,55.752218,11,0,0,3,3,0,"37.535466,55.752218",0
37.534908,55.754826,10,1,0,2,1,0,"37.534908,55.754826",0
37.5347,55.7553,6,0,0,2,1,0,"37.5347,55.7553",0
37.534854,55.759885,7,1,0,4,1,0,"37.534854,55.759885",0
37.53479,55.760579,11,0,0,2,1,0,"37.53479,55.760579",0
37.535166,55.761249,9,0,0,2,1,0,"37.535166,55.761249",0
37.5355,55.7664,12,1,1,3,1,0,"37.5355,55.7664",0
37.534949,55.785421,12,1,1,4,3,0,"37.534949,55.785421",0
37.535444,55.789659,11,1,0,2,1,0,"37.535444,55.789659",0
37.535354,55.790792,7,0,0,3,1,0,"37.535354,55.790792",0
37.534865,55.798778,9,1,0,3,1,0,"37.534865,55.798778",0
37.534361,55.799448,2,0,0,2,1,0,"37.534361,55.799448",0
37.535337,55.804459,10,0,0,2,1,0,"37.535337,55.804459",0
37.5356,55.7544,3,0,0,2,1,0,"37.5356,55.7544",0
37.535595,55.755061,1,1,0,2,1,0,"37.535595,55.755061",0
37.536314,55.755345,10,0,1,3,1,0,"37.536314,55.755345",0
37.535756,55.762076,7,0,0,3,1,0,"37.535756,55.762076",0
37.535959,55.76268,7,0,0,2,1,0,"37.535959,55.76268",0
37.5361,55.7636,5,1,0,1,1,0,"37.5361,55.7636",0
37.536743,55.764274,5,0,0,3,1,0,"37.536743,55.764274",0
37.536721,55.764986,8,0,0,4,2,0,"37.536721,55.764986",0
37.536861,55.766024,3,0,0,2,1,0,"37.536861,55.766024",0
37.536346,55.766229,6,1,0,1,1,0,"37.536346,55.766229",0
37.536399,55.781656,8,0,0,2,1,0,"37.536399,55.781656",0
37.536127,55.78538,4,0,0,2,1,0,"37.536127,55.78538",0
37.536442,55.788133,4,0,0,2,1,0,"37.536442,55.788133",0
37.536051,55.790996,12,1,0,2,1,0,"37.536051,55.790996",0
37.536464,55.802125,11,0,0,2,1,0,"37.536464,55.802125",0
37.536056,55.805231,12,0,0,2,1,0,"37.536056,55.805231",0
37.537558,55.751451,7,1,0,3,1,0,"37.537558,55.751451",0
37.537429,55.755713,12,0,0,2,1,0,"37.537429,55.755713",0
37.537022,55.764835,7,1,1,2,1,0,"37.537022,55.764835",0
37.537676,55.766127,6,0,0,5,3,0,"37.537676,55.766127",0
37.537497,55.774928,5,0,0,6,5,0,"37.537497,55.774928",0
37.537773,55.797464,4,0,0,2,1,0,"37.537773,55.797464",0
37.537172,55.798754,8,0,0,2,1,0,"37.537172,55.798754",0
37.537556,55.80297,3,0,0,2,1,0,"37.537556,55.80297",0
37.5369,55.7494,7,2,0,2,1,0,"37.5369,55.7494",0
37.537708,55.751415,3,1,0,4,1,0,"37.537708,55.751415",0
37.538137,55.754603,11,0,2,2,0,1,"37.538137,55.754603",0
37.537376,55.755532,11,1,0,3,1,0,"37.537376,55.755532",0
37.537955,55.766797,3,1,0,6,2,0,"37.537955,55.766797",0
37.5378,55.7672,3,1,0,2,1,0,"37.5378,55.7672",0
37.538245,55.775016,8,1,0,3,1,0,"37.538245,55.775016",0
37.537515,55.782076,2,0,1,2,1,0,"37.537515,55.782076",0
37.537816,55.786993,1,1,0,3,1,0,"37.537816,55.786993",0
37.537858,55.797446,2,1,1,2,1,0,"37.537858,55.797446",0
37.537244,55.798252,7,0,1,4,3,0,"37.537244,55.798252",0
37.5377,55.8022,10,1,1,2,1,0,"37.5377,55.8022",0
37.538137,55.802415,7,0,0,2,1,0,"37.538137,55.802415",0
37.538905,55.751873,1,1,0,2,1,0,"37.538905,55.751873",0
37.538976,55.756021,1,0,0,2,1,0,"37.538976,55.756021",0
37.53911,55.75788,3,1,1,2,1,0,"37.53911,55.75788",0
37.539028,55.759879,9,0,0,2,1,0,"37.539028,55.759879",0
37.539586,55.761726,10,1,0,2,1,0,"37.539586,55.761726",0
37.539482,55.765322,9,1,0,3,2,0,"37.539482,55.765322",0
37.538738,55.774986,9,0,0,2,1,0,"37.538738,55.774986",0
37.539092,55.775553,4,0,0,2,1,0,"37.539092,55.775553",0
37.538481,55.787439,11,1,0,2,1,0,"37.538481,55.787439",0
37.53906,55.787916,10,0,0,2,1,0,"37.53906,55.787916",0
37.538942,55.794502,5,0,1,2,1,0,"37.538942,55.794502",0
37.538599,55.796269,1,1,0,2,1,0,"37.538599,55.796269",0
37.538384,55.79721,3,1,0,2,1,0,"37.538384,55.79721",0
37.538298,55.797952,12,0,0,2,1,0,"37.538298,55.797952",0
37.539328,55.800202,9,0,0,2,1,0,"37.539328,55.800202",0
37.538395,55.802288,12,1,0,2,1,0,"37.538395,55.802288",0
37.539566,55.805504,4,0,0,2,1,0,"37.539566,55.805504",0
37.53973,55.76642,2,0,1,3,2,0,"37.53973,55.76642",0
37.540777,55.769452,9,0,0,2,1,0,"37.540777,55.769452",0
37.5403,55.7745,5,0,0,2,1,0,"37.5403,55.7745",0
37.54023,55.776145,12,0,1,2,1,0,"37.54023,55.776145",0
37.540627,55.78917,11,1,0,4,1,0,"37.540627,55.78917",0
37.539933,55.797494,2,0,0,2,1,0,"37.539933,55.797494",0
37.539688,55.800503,10,0,1,2,1,0,"37.539688,55.800503",0
37.539854,55.805803,11,1,0,2,1,0,"37.539854,55.805803",0
37.54099,55.75199,3,1,0,2,1,0,"37.54099,55.75199",0
37.540948,55.752236,2,1,0,3,1,0,"37.540948,55.752236",0
37.53976,55.75599,1,1,0,2,1,0,"37.53976,55.75599",0
37.540337,55.765982,9,1,1,2,1,0,"37.540337,55.765982",0
37.54024,55.768945,7,1,0,3,2,0,"37.54024,55.768945",0
37.5403,55.7694,8,0,1,2,1,0,"37.5403,55.7694",0
37.540412,55.774588,11,0,0,2,1,0,"37.540412,55.774588",0
37.540251,55.776145,11,1,0,3,1,0,"37.540251,55.776145",0
37.540562,55.777991,8,0,0,2,1,0,"37.540562,55.777991",0
37.540691,55.784887,8,0,2,2,0,1,"37.540691,55.784887",0
37.540262,55.788893,3,1,0,3,1,0,"37.540262,55.788893",0
37.540869,55.790212,3,0,0,2,1,0,"37.540869,55.790212",0
37.540513,55.79694,5,0,1,1,1,0,"37.540513,55.79694",0
37.540562,55.79715,9,1,1,3,2,0,"37.540562,55.79715",0
37.540916,55.80133,3,0,0,2,1,0,"37.540916,55.80133",0
37.539992,55.805759,6,0,0,2,1,0,"37.539992,55.805759",0
37.541656,55.746958,3,1,0,3,1,0,"37.541656,55.746958",0
37.541163,55.75197,12,0,1,2,1,0,"37.541163,55.75197",0
37.541431,55.752369,3,1,0,3,1,0,"37.541431,55.752369",0
37.5415,55.7565,9,1,0,2,1,0,"37.5415,55.7565",0
37.541538,55.769911,12,1,0,2,2,0,"37.541538,55.769911",0
37.542289,55.770351,6,1,1,4,2,0,"37.542289,55.770351",0
37.5423,55.7784,3,1,0,3,1,0,"37.5423,55.7784",0
37.5421,55.7844,5,0,0,2,1,0,"37.5421,55.7844",0
37.542308,55.79027,2,0,0,2,1,0,"37.542308,55.79027",0
37.5416,55.7948,8,0,1,2,1,0,"37.5416,55.7948",0
37.541975,55.796511,10,0,0,2,1,0,"37.541975,55.796511",0
37.541217,55.801227,12,1,0,2,1,0,"37.541217,55.801227",0
37.542152,55.805308,4,0,0,3,1,0,"37.542152,55.805308",0
37.54342,55.747656,3,0,2,1,0,1,"37.54342,55.747656",0
37.5428,55.7567,4,1,0,2,1,0,"37.5428,55.7567",0
37.543416,55.765451,10,0,0,3,1,0,"37.543416,55.765451",0
37.5433,55.7672,2,0,0,4,1,0,"37.5433,55.7672",0
37.542536,55.770563,5,1,0,2,1,0,"37.542536,55.770563",0
37.5433,55.7711,3,2,0,3,1,0,"37.5433,55.7711",0
37.543738,55.773785,7,0,0,3,1,0,"37.543738,55.773785",0
37.542697,55.773978,10,0,0,4,1,0,"37.542697,55.773978",0
37.543395,55.778431,2,0,1,2,1,0,"37.543395,55.778431",0
37.5433,55.7791,4,0,0,4,2,0,"37.5433,55.7791",0
37.542579,55.790509,12,0,0,3,1,0,"37.542579,55.790509",0
37.543581,55.791259,9,0,1,2,1,0,"37.543581,55.791259",0
37.543545,55.795178,7,1,0,3,1,0,"37.543545,55.795178",0
37.543234,55.795962,10,1,0,2,1,0,"37.543234,55.795962",0
37.543513,55.800147,8,0,0,2,1,0,"37.543513,55.800147",0
37.54241,55.804187,6,0,1,3,2,0,"37.54241,55.804187",0
37.542906,55.804919,3,0,2,2,0,1,"37.542906,55.804919",0
